"","id","partner","type_trial","promise","dec_partner","prom_keys","prom_keys_rt","decision","decision_rt","prom_percent","decision_gain","response"
"271","12","Friend","Promise","Promise","Trust","No response",NA,"Pay back",2.68534173653,0,5,1
"272","12","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"273","12","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",2.48516465374,NA,10,0
"274","12","Friend","Promise","Promise","Trust","Mostly",2.81904500024,"Pay back",2.40200950322,66.66,5,1
"275","12","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"276","12","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",1.7847837247,NA,5,1
"277","12","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"278","12","Friend","Not apply","No promise","Trust",NA,NA,"Not to pay back",3.43593384512,NA,10,0
"279","12","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",3.28564897296,NA,10,0
"280","12","Confederate","No Promise","No promise","Trust",NA,NA,"Not to pay back",3.38628471061,NA,10,0
"281","12","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"282","12","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",2.31836526678,NA,5,1
"283","12","Computer","Promise","Promise","No trust","Sometimes",2.95245312643,NA,NA,33.33,NA,NA
